City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Lichuan,CN,2021-06-07 00:08:31,30.3,108.85,70.12,70,92,2.33
122,Dubrovnik,HR,2021-06-07 00:11:36,42.6481,18.0922,69.44,64,0,5.37
123,Asau,RO,2021-06-07 00:11:36,46.4333,26.4,56.39,76,5,5.14
124,Hithadhoo,MV,2021-06-07 00:11:36,-0.6,73.0833,82.89,74,12,13.06
125,Tura,IN,2021-06-07 00:01:47,25.5198,90.2201,72.48,97,77,6.29
126,Komsomolskiy,UZ,2021-06-07 00:07:29,40.4272,71.7189,77.72,33,80,6.91
127,Mount Pleasant,US,2021-06-07 00:07:25,32.7941,-79.8626,79.0,90,1,3.0
128,Mar Del Plata,AR,2021-06-07 00:09:23,-38.0023,-57.5575,54.12,71,64,5.01
129,Te Anau,NZ,2021-06-07 00:01:51,-45.4167,167.7167,44.85,80,10,1.12
130,Kakamigahara,JP,2021-06-07 00:11:37,35.4167,136.8667,76.24,62,100,0.18
131,Cidreira,BR,2021-06-07 00:11:38,-30.1811,-50.2056,63.28,75,100,11.48
132,Husavik,IS,2021-06-07 00:11:38,66.0449,-17.3389,47.73,79,71,4.72
133,Maxixe,MZ,2021-06-07 00:11:38,-23.8597,35.3472,66.24,76,83,8.75
134,Provideniya,RU,2021-06-07 00:11:39,64.3833,-173.3,42.91,61,75,8.95
135,Klaksvik,FO,2021-06-07 00:11:39,62.2266,-6.589,49.12,99,100,13.56
136,Basoko,CD,2021-06-07 00:11:39,1.2391,23.616,72.05,94,100,1.86
137,Vanavara,RU,2021-06-07 00:08:10,60.34,102.2797,44.31,54,76,5.75
138,Pocatello,US,2021-06-07 00:11:40,42.8713,-112.4455,81.48,19,1,1.99
139,Pisco,PE,2021-06-07 00:02:03,-13.7,-76.2167,63.01,86,3,5.5
140,Ponta Do Sol,PT,2021-06-07 00:11:40,32.6667,-17.1,66.83,73,6,6.26
141,Lebu,CL,2021-06-07 00:11:40,-37.6167,-73.65,48.51,80,92,5.91
142,Kuching,MY,2021-06-07 00:04:07,1.55,110.3333,73.62,100,40,0.0
143,Beipiao,CN,2021-06-07 00:11:41,41.7919,120.7792,72.88,43,83,9.93
144,Tilichiki,RU,2021-06-07 00:11:41,60.4667,166.1,38.14,96,100,5.93
145,Catamarca,AR,2021-06-07 00:08:57,-28.4696,-65.7852,60.49,77,48,7.7
146,Kodiak,US,2021-06-07 00:11:41,57.79,-152.4072,65.71,30,1,12.66
147,Westport,US,2021-06-07 00:07:50,41.1415,-73.3579,87.03,58,1,1.99
148,Jharsuguda,IN,2021-06-07 00:11:42,21.85,84.0333,85.87,49,14,5.32
149,Chipata,ZM,2021-06-07 00:11:42,-13.6333,32.65,52.2,80,93,8.41
150,Hit,IQ,2021-06-07 00:11:42,33.6416,42.8251,81.41,19,0,10.83
151,Port Blair,IN,2021-06-07 00:02:31,11.6667,92.75,83.88,77,100,12.33
152,Leningradskiy,RU,2021-06-07 00:11:43,69.3833,178.4167,42.69,67,19,15.21
153,Evensk,RU,2021-06-07 00:11:43,61.95,159.2333,47.01,76,93,5.21
154,Airai,TL,2021-06-07 00:11:43,-8.9266,125.4092,65.16,64,43,3.02
155,Nome,US,2021-06-07 00:04:05,64.5011,-165.4064,37.17,83,100,5.39
156,Touros,BR,2021-06-07 00:11:44,-5.1989,-35.4608,76.1,86,12,13.58
157,Bambous Virieux,MU,2021-06-07 00:03:03,-20.3428,57.7575,72.21,83,36,14.63
158,Norman Wells,CA,2021-06-07 00:11:44,65.282,-126.8329,42.82,89,100,2.26
159,Petropavlovsk-Kamchatskiy,RU,2021-06-07 00:07:49,53.0452,158.6483,45.19,93,90,2.8
160,Rongcheng,CN,2021-06-07 00:03:37,30.634,117.8517,76.6,64,100,2.66
161,Broome,US,2021-06-07 00:03:56,42.2506,-75.833,82.78,38,1,2.39
162,Lantana,US,2021-06-07 00:11:45,26.5867,-80.052,83.05,84,40,5.99
163,Dikson,RU,2021-06-07 00:11:45,73.5069,80.5464,29.91,91,99,12.91
164,Grants,US,2021-06-07 00:08:22,35.1473,-107.8514,89.83,8,1,14.97
165,Kahului,US,2021-06-07 00:02:46,20.8947,-156.47,82.98,72,31,8.99
166,Aquiraz,BR,2021-06-07 00:11:46,-3.9014,-38.3911,81.18,82,15,8.48
167,Pahrump,US,2021-06-07 00:11:46,36.2083,-115.9839,102.11,9,0,3.0
168,Geraldton,AU,2021-06-07 00:02:51,-28.7667,114.6,56.12,82,95,18.68
169,Teya,RU,2021-06-07 00:11:47,60.3778,92.6267,44.44,96,100,4.29
170,Satun,TH,2021-06-07 00:11:47,6.8333,100.0,77.0,89,100,2.21
171,Castro,BR,2021-06-07 00:11:47,-24.7911,-50.0119,61.47,66,97,2.28
172,Sayat,TM,2021-06-07 00:11:48,38.7839,63.8803,84.07,24,3,10.25
173,Lata,PT,2021-06-07 00:11:48,40.1629,-8.3327,59.81,93,0,1.66
174,New Norfolk,AU,2021-06-07 00:11:48,-42.7826,147.0587,58.91,49,100,7.85
175,Kloulklubed,PW,2021-06-07 00:11:49,7.0419,134.2556,75.7,80,100,6.82
176,Maudaha,IN,2021-06-07 00:11:49,25.6833,80.1167,92.7,37,36,11.86
