City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Saint-Augustin,CA,2021-06-06 18:31:28,51.226,-58.6502,60.15,38,6,3.8
166,Kitimat,CA,2021-06-06 18:31:29,54.0524,-128.6534,50.38,91,100,0.6
167,Mercedes,AR,2021-06-06 18:31:29,-34.6515,-59.4307,60.85,46,97,7.56
168,San Quintin,MX,2021-06-06 18:31:30,30.4833,-115.95,66.51,61,12,12.1
169,Bengkulu,ID,2021-06-06 18:31:30,-3.8004,102.2655,74.12,91,83,4.63
170,Quimper,FR,2021-06-06 18:29:58,48.0,-4.1,66.78,72,90,8.05
171,Nishihara,JP,2021-06-06 18:31:30,26.1842,127.7558,75.25,94,90,4.76
172,Xining,CN,2021-06-06 18:27:58,36.6167,101.7667,50.9,75,92,2.19
173,Iqaluit,CA,2021-06-06 18:28:28,63.7506,-68.5145,37.13,81,75,5.01
174,Bandarban,BD,2021-06-06 18:31:31,22.1965,92.2262,76.6,96,100,2.21
175,Ilulissat,GL,2021-06-06 18:29:18,69.2167,-51.1,35.62,87,71,6.91
176,Clyde River,CA,2021-06-06 18:31:31,70.4692,-68.5914,34.03,100,90,10.36
177,Biggar,GB,2021-06-06 18:31:32,55.6167,-3.5167,62.69,75,18,4.05
178,Bredasdorp,ZA,2021-06-06 18:31:21,-34.5322,20.0403,51.8,54,6,6.91
179,Sfantu Gheorghe,RO,2021-06-06 18:29:58,45.8667,25.7833,57.27,89,32,2.62
180,Broome,US,2021-06-06 18:31:23,42.2506,-75.833,90.01,46,40,3.0
181,Coihaique,CL,2021-06-06 18:31:33,-45.5752,-72.0662,47.01,76,90,6.91
182,Presidente Dutra,BR,2021-06-06 18:31:33,-5.29,-44.49,90.93,45,19,3.74
183,Taltal,CL,2021-06-06 18:31:34,-25.4,-70.4833,64.15,71,12,6.96
184,Ust-Omchug,RU,2021-06-06 18:31:34,61.15,149.6333,42.33,86,100,5.99
185,Namibe,AO,2021-06-06 18:31:34,-15.1961,12.1522,75.2,83,0,6.91
186,Puerto Ayacucho,VE,2021-06-06 18:31:35,5.6639,-67.6236,87.12,64,100,3.76
187,Leningradskiy,RU,2021-06-06 18:31:35,69.3833,178.4167,36.68,89,21,11.39
188,Portland,US,2021-06-06 18:29:24,45.5234,-122.6762,59.56,67,90,1.99
189,Zeya,RU,2021-06-06 18:31:36,53.75,127.2667,54.46,64,67,2.04
190,Hovd,MN,2021-06-06 18:31:36,48.0056,91.6419,46.99,41,7,5.95
